"Input","Output","Run time","Run date"
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.1126906871795654,2024-05-21 16:27:08.714214
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.1209638118743896,2024-05-21 16:29:58.573850
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.0861504077911377,2024-05-21 16:30:41.798543
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.024959087371826,2024-05-21 16:30:56.572498
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.642443895339966,2024-05-21 16:31:47.808746
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.200254201889038,2024-05-21 16:32:19.273386
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.0612828731536865,2024-05-21 16:34:20.048178
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.096404552459717,2024-05-21 16:42:13.831062
"['machine', 'learning', 'optimization', 'is', 'hard', ',', 'we', 'suggest', 'using', 'adaptive', 'moment', 'estimation', '(', 'ADAM', ')']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O']]",2.038236618041992,2024-05-21 16:44:57.392749
"['This', 'article', 'provides', 'an', 'introduction', 'to', 'the', 'key', 'concepts', 'and', 'techniques', 'used', 'in', 'Natural', 'Language', 'Processing', '(', 'NLP', ')', 'and', 'their', 'applications', '.', 'The', 'article', 'covers', 'seven', 'key', 'concepts', 'in', 'NLP', ',', 'including', 'tokenization', ',', 'part', '-', 'of', '-', 'speech', 'tagging', ',', 'named', 'entity', 'recognition', ',', 'sentiment', 'analysis', ',', 'language', 'modelling', ',', 'text', 'classification', ',', 'and', 'machine', 'translation', '.', 'It', 'also', 'discusses', 'four', 'main', 'techniques', 'and', 'algorithms', 'used', 'in', 'NLP', ',', 'including', 'rule', '-', 'based', 'techniques', ',', 'statistical', 'techniques', ',', 'machine', 'learning', 'techniques', ',', 'and', 'deep', 'learning', 'techniques', '.', 'Lastly', ',', 'the', 'article', 'explores', 'various', 'applications', 'of', 'NLP', ',', 'including', 'chatbots', ',', 'voice', 'assistants', ',', 'sentiment', 'analysis', ',', 'and', 'machine', 'translation', '.', 'Introduction', 'Natural', 'Language', 'Processing', '(', 'NLP', ')', 'is', 'an', 'area', 'of', 'Artificial', 'Intelligence', '(', 'AI', ')', 'that', 'focuses', 'on', 'enabling', 'computers', 'to', 'understand', ',', 'interpret', ',', 'and', 'generate', 'human', 'language', '.', 'NLP', 'combines', 'various', 'techniques', 'and', 'algorithms', 'from', 'different', 'fields', ',', 'such', 'as', 'linguistics', ',', 'computer', 'science', ',', 'and', 'mathematics', ',', 'to', 'enable', 'computers', 'to', 'process', 'and', 'analyze', 'natural', 'language', 'data', '.', 'NLP', 'is', 'used', 'in', 'a', 'wide', 'range', 'of', 'applications', ',', 'including', 'chatbots', ',', 'voice', 'assistants', ',', 'sentiment', 'analysis', ',', 'language', 'translation', ',', 'and', 'text', 'summarization', '.', 'In', 'this', 'guide', ',', 'we', 'will', 'explore', 'the', 'key', 'concepts', 'and', 'techniques', 'used', 'in', 'NLP', 'and', 'their', 'applications', '.', 'Key', 'Concepts', 'in', 'Natural', 'Language', 'Processing', '(', 'NLP', ')', 'Tokenization', 'Tokenization', 'is', 'a', 'fundamental', 'step', 'in', 'natural', 'language', 'processing', '(', 'NLP', ')', 'that', 'involves', 'breaking', 'down', 'the', 'text', 'into', 'individual', 'units', 'of', 'meaning', 'called', 'tokens', '.', 'Tokens', 'can', 'be', 'words', ',', 'phrases', ',', 'or', 'even', 'symbols', '.', 'This', 'process', 'helps', 'to', 'standardize', 'the', 'text', 'data', 'and', 'make', 'it', 'easier', 'to', 'analyze', '.', 'There', 'are', 'different', 'approaches', 'to', 'tokenization', ',', 'including', 'white', '-', 'space', 'tokenization', ',', 'punctuation', '-', 'based', 'tokenization', ',', 'and', 'rule', '-', 'based', 'tokenization', '.', 'The', 'choice', 'of', 'tokenization', 'approach', 'depends', 'on', 'the', 'specific', 'application', 'and', 'the', 'nature', 'of', 'the', 'text', 'data', '.', 'In', 'white', '-', 'space', 'tokenization', ',', 'the', 'text', 'is', 'split', 'into', 'tokens', 'based', 'on', 'white', 'spaces', ',', 'such', 'as', 'spaces', 'or', 'tabs', '.', 'Punctuation', '-', 'based', 'tokenization', 'involves', 'using', 'punctuation', 'marks', ',', 'such', 'as', 'periods', 'or', 'commas', ',', 'as', 'delimiters', 'to', 'separate', 'the', 'text', 'into', 'tokens', '.', 'Rule', '-', 'based', 'tokenization', 'involves', 'using', 'pre', '-', 'defined', 'rules', ',', 'such', 'as', 'regular', 'expressions', ',', 'to', 'split', 'the', 'text', 'into', 'tokens', '.', 'Regardless', 'of', 'the', 'approach', ',', 'tokenization', 'plays', 'a', 'critical', 'role', 'in', 'NLP', 'by', 'facilitating', 'text', 'processing', ',', 'analysis', ',', 'and', 'machine', 'learning', 'applications', '.', 'Part', '-', 'of', '-', 'speech', 'tagging', 'Part', '-', 'of', '-', 'speech', '(', 'POS', ')', 'tagging', 'is', 'the', 'process', 'of', 'labelling', 'each', 'word', 'in', 'a', 'text', 'with', 'its', 'corresponding', 'part', 'of', 'speech', ',', 'such', 'as', 'noun', ',', 'verb', ',', 'adjective', ',', 'etc', '.', 'POS', 'tagging', 'is', 'important', 'in', 'NLP', 'because', 'it', 'helps', 'to', 'identify', 'the', 'grammatical']","[['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['I-LF'], ['I-LF'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O'], 'B-O', 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], 'B-O', ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-LF'], ['I-LF'], ['I-LF'], ['I-LF'], ['I-LF'], ['I-LF'], ['B-O'], ['I-LF'], ['I-LF'], ['B-O'], ['B-O'], ['B-O'], ['B-AC'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-AC'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-AC', ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], ['B-O'], 'B-O']",3.5443246364593506,2024-05-21 16:46:04.432407
